Figure 2. Global Atmospheric Concentrations of Methane Over Time,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,
Data source: Compilation of five underlying datasets,,,,,
Web update: July 2022,,,,,
Units: parts per billion (ppb) of methane,,,,,
,,,,,
Year (negative values = BC),"EPICA Dome C, Antarctica",Law Dome,"Cape Grim, Australia","Mauna Loa, Hawaii","Shetland Islands, Scotland"
Ice core measurements,,,,,
-89288,432.30,,,,
-89012,436.60,,,,
-88743.5,460.67,,,,
-88449.7,447.30,,,,
-88164.1,445.00,,,,
-87631,463.33,,,,
-87372.2,475.80,,,,
-87111.4,493.67,,,,
-86828.2,494.30,,,,
-86558.8,500.87,,,,
-86250.5,507.80,,,,
-85950.7,502.33,,,,
-85664.2,506.50,,,,
-85389.5,479.67,,,,
-85054.4,445.60,,,,
-84776.4,448.00,,,,
-84521.6,428.50,,,,
-84258.4,468.00,,,,
-83996.1,425.20,,,,
-83816.3,429.20,,,,
-83491.4,454.10,,,,
-83254.9,452.33,,,,
-82999.4,442.80,,,,
-82751.1,450.33,,,,
-82511.1,444.70,,,,
-82275.1,464.00,,,,
-82022.3,465.00,,,,
-81788.8,485.33,,,,
-81561,514.60,,,,
-81326.5,559.70,,,,
-81116.6,631.30,,,,
-80916,629.33,,,,
-80689.5,622.30,,,,
-80468.1,616.33,,,,
-80262.1,616.70,,,,
-80033.4,605.50,,,,
-79791.1,571.00,,,,
-79573.5,595.33,,,,
-79334,576.10,,,,
-79126.3,584.00,,,,
-78851.9,547.60,,,,
-78619.7,549.33,,,,
-78371.9,549.80,,,,
-78153.6,535.33,,,,
-77923.9,563.00,,,,
-77675.6,536.00,,,,
-77447.7,514.90,,,,
-77196.6,515.00,,,,
-76960.5,512.30,,,,
-76695.5,496.98,,,,
-76415.5,487.40,,,,
-76200.2,477.00,,,,
-75935.2,463.30,,,,
-75644.3,450.33,,,,
-75367,475.10,,,,
-75106.3,472.00,,,,
-74846.2,441.60,,,,
-74579.2,441.67,,,,
-74291,465.80,,,,
-74022.1,422.20,,,,
-73762.1,437.50,,,,
-73474.6,424.33,,,,
-73188.8,414.80,,,,
-72934.7,415.67,,,,
-72681.3,460.70,,,,
-72441,476.67,,,,
-72206.9,467.10,,,,
-71966.1,469.00,,,,
-71735.1,460.70,,,,
-71482.9,451.10,,,,
-71175.3,452.30,,,,
-70904.1,447.67,,,,
-70579,452.80,,,,
-70258.7,457.33,,,,
-69941,432.10,,,,
-69660.9,432.00,,,,
-69403.2,430.90,,,,
-69148.4,448.67,,,,
-68915.6,481.50,,,,
-68683.3,475.40,,,,
-68494.6,469.80,,,,
-68221.2,472.67,,,,
-67982.7,489.80,,,,
-67636.3,450.33,,,,
-67410.3,462.10,,,,
-67026,460.00,,,,
-66734.3,473.70,,,,
-66329.4,456.00,,,,
-66086,450.70,,,,
-65782.4,479.60,,,,
-65482.3,470.50,,,,
-65126.2,452.67,,,,
-64867.7,459.30,,,,
-64538.7,449.33,,,,
-64305.1,460.70,,,,
-63976.1,444.00,,,,
-63665.2,475.60,,,,
-63308.9,456.67,,,,
-63034,461.10,,,,
-62703.9,461.90,,,,
-62400,439.70,,,,
-62067.2,434.00,,,,
-61817,488.80,,,,
-61482.2,484.00,,,,
-61253,467.50,,,,
-60868.7,444.00,,,,
-60605.5,443.70,,,,
-60251.8,430.00,,,,
-60007.1,438.70,,,,
-59696.9,430.80,,,,
-59100.8,431.67,,,,
-58898.2,436.61,,,,
-58862,412.00,,,,
-58597.8,425.33,,,,
-58390.5,430.10,,,,
-58098.6,426.33,,,,
-57914.9,442.70,,,,
-57640.3,425.00,,,,
-57416,434.90,,,,
-57103.6,441.80,,,,
-56930,454.20,,,,
-56660.1,523.00,,,,
-56441.3,502.10,,,,
-56207.7,554.00,,,,
-56042.7,561.10,,,,
-55771.2,519.67,,,,
-55585.6,514.80,,,,
-55306.4,541.67,,,,
-54893.1,553.90,,,,
-54840,542.90,,,,
-54642.3,550.10,,,,
-54366.2,546.00,,,,
-53856.6,483.00,,,,
-53845.6,534.20,,,,
-53642.4,466.00,,,,
-53338.1,460.67,,,,
-53135.1,514.37,,,,
-52880.6,475.67,,,,
-52452.7,461.60,,,,
-52150.3,437.04,,,,
-51922,438.00,,,,
-51738.5,438.15,,,,
-51481.6,513.00,,,,
-51248.7,535.10,,,,
-51039.4,530.00,,,,
-50864,529.30,,,,
-50582.2,542.67,,,,
-50398.5,566.50,,,,
-50169.7,526.60,,,,
-49933.2,530.90,,,,
-49670.8,517.00,,,,
-49476.5,544.03,,,,
-49193.8,515.00,,,,
-48970.8,510.15,,,,
-48672.4,493.00,,,,
-48490.5,489.02,,,,
-48241.6,469.67,,,,
-47940,491.65,,,,
-47765.5,451.80,,,,
-47538.2,433.50,,,,
-47307.4,464.00,,,,
-46988.5,461.23,,,,
-46727.5,435.00,,,,
-46223,414.00,,,,
-46002.4,452.80,,,,
-45718.3,436.67,,,,
-45521.1,424.50,,,,
-45270.9,441.40,,,,
-45237.7,432.10,,,,
-45038.2,440.27,,,,
-44794.9,493.00,,,,
-44598.5,499.35,,,,
-44389.4,514.00,,,,
-44263.5,497.47,,,,
-43927.2,499.33,,,,
-43748.1,487.05,,,,
-43464.1,466.67,,,,
-43284,489.81,,,,
-43038.9,461.67,,,,
-42724.6,468.67,,,,
-42452.6,427.33,,,,
-42212.2,430.60,,,,
-41912.9,411.33,,,,
-41639.7,415.43,,,,
-41486.5,437.40,,,,
-41395.2,463.00,,,,
-41168.7,481.50,,,,
-41086,486.30,,,,
-40934,470.00,,,,
-40889.4,471.40,,,,
-40728.9,446.40,,,,
-40546.1,455.90,,,,
-40346.2,415.11,,,,
-40212.8,416.10,,,,
-40101.3,429.05,,,,
-39976.8,413.88,,,,
-39736.8,458.10,,,,
-39510.9,467.20,,,,
-39419.9,464.67,,,,
-39401,465.10,,,,
-39315.1,461.90,,,,
-39307.1,465.30,,,,
-39273,457.40,,,,
-39215.6,441.68,,,,
-39159.5,433.40,,,,
-39118.5,433.90,,,,
-39107.6,419.70,,,,
-39000.9,433.30,,,,
-38909.7,422.38,,,,
-38897.8,446.90,,,,
-38853.9,426.20,,,,
-38698.6,418.50,,,,
-38685.6,413.00,,,,
-38475,420.10,,,,
-38420.8,429.00,,,,
-38343.5,449.90,,,,
-38268.5,440.40,,,,
-38260.5,447.50,,,,
-38212.1,442.40,,,,
-38101.8,413.50,,,,
-38080.8,422.30,,,,
-38046.9,423.80,,,,
-37857.8,410.90,,,,
-37840.6,418.70,,,,
-37804,418.70,,,,
-37640.9,427.00,,,,
-37422.8,443.70,,,,
-37225.6,450.10,,,,
-37069.7,441.30,,,,
-36847.4,455.10,,,,
-36471.1,440.15,,,,
-36287.2,443.00,,,,
-36095.1,526.28,,,,
-35943.3,481.00,,,,
-35898.6,539.50,,,,
-35801.2,539.00,,,,
-35725.2,546.68,,,,
-35609,543.90,,,,
-35574.1,556.70,,,,
-35564.5,560.40,,,,
-35456.1,580.40,,,,
-35416.6,563.28,,,,
-35348.3,571.90,,,,
-35249.9,548.20,,,,
-35237.6,536.30,,,,
-35176.9,586.70,,,,
-35038.2,534.38,,,,
-34986.9,533.60,,,,
-34662.6,523.80,,,,
-34572.2,494.45,,,,
-34423.6,468.50,,,,
-34358.1,470.80,,,,
-34154.4,441.30,,,,
-34049.7,440.30,,,,
-33942.9,440.75,,,,
-33890.7,425.20,,,,
-33814.1,425.60,,,,
-33699.7,444.00,,,,
-33539.4,420.60,,,,
-33380.3,426.90,,,,
-33288.1,491.85,,,,
-33231.1,497.70,,,,
-33110.5,514.30,,,,
-32995.5,512.50,,,,
-32954.4,519.85,,,,
-32950.6,519.20,,,,
-32718.2,489.00,,,,
-32627.5,457.00,,,,
-32580.7,447.05,,,,
-32387.2,428.00,,,,
-32234.8,430.00,,,,
-32129.2,430.08,,,,
-32095.8,420.40,,,,
-31906.6,419.00,,,,
-31859.5,415.40,,,,
-31784.6,425.90,,,,
-31737.9,478.70,,,,
-31530.2,460.90,,,,
-31298.4,444.30,,,,
-31251.8,443.30,,,,
-31198.4,439.60,,,,
-31110,427.65,,,,
-31076.2,423.50,,,,
-30953.8,432.00,,,,
-30863.6,414.50,,,,
-30817.7,404.00,,,,
-30694.6,404.60,,,,
-30637.6,410.40,,,,
-30464.5,409.15,,,,
-30419.9,451.90,,,,
-30303.6,430.63,,,,
-30213,470.80,,,,
-30119.4,457.40,,,,
-29945.2,440.90,,,,
-29842.9,421.63,,,,
-29805.9,426.50,,,,
-29453.9,412.00,,,,
-29247.6,404.43,,,,
-29024.4,391.70,,,,
-28810.6,408.48,,,,
-28668.2,409.70,,,,
-28197.8,392.38,,,,
-28029.6,399.30,,,,
-27751,391.00,,,,
-27368.7,367.70,,,,
-27140.9,388.30,,,,
-26813.5,443.88,,,,
-26552,414.00,,,,
-26335.5,402.38,,,,
-26185.6,399.00,,,,
-25945.7,381.93,,,,
-25729.9,426.30,,,,
-25553.5,406.30,,,,
-25385.9,395.85,,,,
-25123.9,386.20,,,,
-24968,387.00,,,,
-24681.1,396.30,,,,
-24039.6,364.13,,,,
-23874.4,355.00,,,,
-23649.1,365.00,,,,
-23379.2,369.70,,,,
-22977.4,372.48,,,,
-22771.1,388.70,,,,
-22565.5,372.70,,,,
-22349,360.00,,,,
-22134.1,375.10,,,,
-21938.1,398.00,,,,
-21797.4,386.48,,,,
-21522.2,389.70,,,,
-21328.7,389.75,,,,
-21179.6,390.00,,,,
-20945,384.65,,,,
-20767.9,407.30,,,,
-20035.6,355.30,,,,
-19836.3,357.30,,,,
-19519.5,357.00,,,,
-19267.6,353.70,,,,
-19004.1,364.81,,,,
-18757.8,378.30,,,,
-18518.6,366.73,,,,
-18515.5,383.75,,,,
-18174.3,375.30,,,,
-18013.4,373.74,,,,
-17742.9,351.30,,,,
-17730,356.30,,,,
-17529,377.00,,,,
-17500.7,358.08,,,,
-17366.5,365.70,,,,
-16940.4,378.70,,,,
-16923.3,372.74,,,,
-16568.7,371.00,,,,
-16558,378.34,,,,
-16540.1,370.90,,,,
-16306.2,375.30,,,,
-15973.3,371.30,,,,
-15958.7,377.24,,,,
-15838.8,366.30,,,,
-15592.7,383.70,,,,
-15580.8,366.15,,,,
-15555.7,375.40,,,,
-15366.4,371.30,,,,
-15124.6,388.84,,,,
-15095.8,395.40,,,,
-14882.5,381.30,,,,
-14876.1,408.30,,,,
-14667.1,404.15,,,,
-14654.3,409.20,,,,
-14480,404.70,,,,
-14292.5,427.30,,,,
-14263.3,423.70,,,,
-14110.3,418.70,,,,
-13920,473.30,,,,
-13915.1,438.44,,,,
-13894.1,441.20,,,,
-13605,456.00,,,,
-13595.2,441.38,,,,
-13442.8,451.70,,,,
-13266.7,451.00,,,,
-13252.6,463.01,,,,
-13016.2,475.70,,,,
-12919.7,469.86,,,,
-12760.9,459.30,,,,
-12604.6,468.67,,,,
-12596.8,469.62,,,,
-12584.5,461.00,,,,
-12361.7,476.02,,,,
-12339.1,464.70,,,,
-12059.8,568.88,,,,
-12001,596.88,,,,
-11991.8,578.30,,,,
-11821.4,611.70,,,,
-11696,630.00,,,,
-11687.3,623.26,,,,
-11674.6,618.60,,,,
-11547.3,613.00,,,,
-11477.9,618.70,,,,
-11468.2,624.86,,,,
-11406.1,628.43,,,,
-11305.2,645.70,,,,
-11128.6,653.30,,,,
-11119.8,670.40,,,,
-10959.7,661.70,,,,
-10933.8,661.50,,,,
-10797.3,646.00,,,,
-10785.5,610.46,,,,
-10654.9,643.30,,,,
-10534.8,627.00,,,,
-10526.8,650.99,,,,
-10387.5,542.00,,,,
-10143.5,478.59,,,,
-10088.8,466.70,,,,
-10083,480.26,,,,
-9971.2,462.30,,,,
-9858.3,482.70,,,,
-9848.3,462.02,,,,
-9766.6,477.30,,,,
-9674.6,467.70,,,,
-9660.3,488.43,,,,
-9459.9,469.00,,,,
-9382.6,559.00,,,,
-9374.9,643.49,,,,
-9266.2,664.70,,,,
-9180.1,654.30,,,,
-9173.6,652.52,,,,
-9127.8,633.30,,,,
-9116.4,650.40,,,,
-8974.5,703.00,,,,
-8921.6,679.21,,,,
-8867.5,673.30,,,,
-8861.6,693.55,,,,
-8757.1,680.70,,,,
-8708.7,684.52,,,,
-8661.9,666.00,,,,
-8654.3,671.40,,,,
-8567.5,652.00,,,,
-8528.2,668.68,,,,
-8459,661.30,,,,
-8443.6,672.16,,,,
-8323.5,688.00,,,,
-8302.5,682.46,,,,
-8253.7,678.00,,,,
-8241.6,694.29,,,,
-8147.7,698.00,,,,
-8086.2,717.05,,,,
-8011.5,678.00,,,,
-7932.1,685.00,,,,
-7885,674.62,,,,
-7850.9,682.30,,,,
-7844.2,669.59,,,,
-7768.8,673.84,,,,
-7749.5,676.30,,,,
-7689.8,693.06,,,,
-7641.6,683.30,,,,
-7636.6,688.95,,,,
-7583,685.40,,,,
-7559.5,682.30,,,,
-7509.5,675.35,,,,
-7441.2,676.33,,,,
-7361.8,673.70,,,,
-7355,670.91,,,,
-7331.4,675.02,,,,
-7257.3,663.30,,,,
-7198.8,666.43,,,,
-7185.4,665.00,,,,
-7183.6,664.04,,,,
-7134.8,664.70,,,,
-7130.8,671.35,,,,
-7070.1,663.51,,,,
-7010.9,670.70,,,,
-6955.7,647.64,,,,
-6891.6,657.30,,,,
-6881.5,673.72,,,,
-6821.2,657.50,,,,
-6813.9,676.18,,,,
-6758.1,675.44,,,,
-6697.6,659.00,,,,
-6693.9,670.74,,,,
-6599.3,657.30,,,,
-6572.8,661.60,,,,
-6502,653.70,,,,
-6485.4,654.10,,,,
-6427.8,659.70,,,,
-6420.7,648.04,,,,
-6381,664.60,,,,
-6323.2,649.30,,,,
-6319.4,647.17,,,,
-6251.6,659.56,,,,
-6221.2,640.70,,,,
-6205.2,641.85,,,,
-6158.4,640.33,,,,
-6139.3,651.00,,,,
-6117.7,623.91,,,,
-6115.7,632.67,,,,
-6103,626.44,,,,
-6088.6,605.70,,,,
-6062.1,632.33,,,,
-6035.4,659.97,,,,
-6006.6,624.30,,,,
-5962.8,613.06,,,,
-5941.8,589.00,,,,
-5924,612.33,,,,
-5921,600.10,,,,
-5906.6,597.70,,,,
-5891.3,620.00,,,,
-5873.3,613.67,,,,
-5828.2,612.47,,,,
-5818.8,610.70,,,,
-5811.5,619.53,,,,
-5772.8,617.92,,,,
-5754,623.33,,,,
-5738.2,619.57,,,,
-5719.5,623.00,,,,
-5709.9,619.07,,,,
-5666.3,619.95,,,,
-5622.6,622.70,,,,
-5593.5,616.51,,,,
-5573.2,617.00,,,,
-5547.5,609.70,,,,
-5546.4,625.22,,,,
-5479.5,617.45,,,,
-5458.4,602.44,,,,
-5455.4,611.70,,,,
-5360.4,623.19,,,,
-5338.7,601.70,,,,
-5303.2,618.23,,,,
-5259.4,618.30,,,,
-5177.4,622.51,,,,
-5155.9,607.30,,,,
-5154.9,612.45,,,,
-5069.7,609.70,,,,
-5065.6,631.04,,,,
-5010.5,613.54,,,,
-4973.5,607.00,,,,
-4951.2,632.58,,,,
-4866.6,605.30,,,,
-4787.9,607.99,,,,
-4758.7,603.30,,,,
-4757.6,635.93,,,,
-4740.9,603.60,,,,
-4686.7,606.54,,,,
-4659.7,595.30,,,,
-4656.8,601.42,,,,
-4648.4,599.00,,,,
-4591.8,601.63,,,,
-4552.8,601.60,,,,
-4502.9,616.90,,,,
-4453.6,587.70,,,,
-4434.7,587.14,,,,
-4400.2,581.05,,,,
-4396.3,580.00,,,,
-4391.2,577.12,,,,
-4354.3,591.92,,,,
-4313.5,583.19,,,,
-4306.5,577.00,,,,
-4301.6,590.13,,,,
-4165.6,589.82,,,,
-4108,596.65,,,,
-4083,581.00,,,,
-4079,597.16,,,,
-4072,591.70,,,,
-4043.2,602.46,,,,
-4039,564.00,,,,
-3964.7,584.44,,,,
-3920.2,569.99,,,,
-3884,575.00,,,,
-3762,586.15,,,,
-3734.4,584.30,,,,
-3706.9,581.46,,,,
-3703.2,569.70,,,,
-3700.5,577.66,,,,
-3693.2,571.30,,,,
-3647.9,591.12,,,,
-3606.5,568.30,,,,
-3599.6,563.48,,,,
-3575.9,580.60,,,,
-3523.7,579.57,,,,
-3508.2,566.00,,,,
-3468.1,570.14,,,,
-3413.6,565.00,,,,
-3387.1,576.80,,,,
-3322.2,564.20,,,,
-3319.5,560.75,,,,
-3271.3,573.71,,,,
-3206.2,558.30,,,,
-3199.1,552.67,,,,
-3161.5,550.60,,,,
-3117.6,563.00,,,,
-3051.6,561.00,,,,
-2918.3,567.70,,,,
-2914.4,572.68,,,,
-2899,569.90,,,,
-2873,578.54,,,,
-2805.3,563.30,,,,
-2789.9,569.90,,,,
-2751.3,559.67,,,,
-2732.8,563.00,,,,
-2674.5,559.66,,,,
-2639.3,579.70,,,,
-2600.8,559.51,,,,
-2546,580.07,,,,
-2523.5,561.70,,,,
-2520.6,582.45,,,,
-2510.6,568.10,,,,
-2489.5,569.88,,,,
-2415.9,569.70,,,,
-2406.8,583.99,,,,
-2375.4,579.02,,,,
-2359.1,567.70,,,,
-2355.3,577.30,,,,
-2223.3,581.87,,,,
-2191.5,570.30,,,,
-2131.7,563.00,,,,
-2128.8,575.70,,,,
-2044.1,567.70,,,,
-2036.2,548.93,,,,
-2014.5,575.13,,,,
-1954.7,578.39,,,,
-1941.9,573.50,,,,
-1823.2,575.87,,,,
-1746.5,580.70,,,,
-1740.3,578.00,,,,
-1663.6,577.70,,,,
-1652.3,595.67,,,,
-1622.1,574.60,,,,
-1566.9,559.54,,,,
-1556.2,569.80,,,,
-1483.1,572.70,,,,
-1409.7,589.15,,,,
-1357.6,581.30,,,,
-1260.1,567.70,,,,
-1189.2,589.46,,,,
-1156.8,576.00,,,,
-1076.2,572.70,,,,
-1048.1,581.18,,,,
-927.3,577.00,,,,
-907.1,577.02,,,,
-850.1,578.30,,,,
-843.3,579.63,,,,
-784.8,582.52,,,,
-773.6,587.90,,,,
-769.5,580.00,,,,
-766.5,590.31,,,,
-674.1,586.37,,,,
-651.8,591.70,,,,
-568.8,590.00,,,,
-564.8,603.00,,,,
-531.8,578.89,,,,
-473.6,591.70,,,,
-463.6,604.45,,,,
-438.7,592.81,,,,
-375,597.00,,,,
-371,594.11,,,,
-359.2,594.70,,,,
-324.6,597.32,,,,
-257.8,601.70,,,,
-168.9,608.70,,,,
-164.9,594.29,,,,
-154.1,590.60,,,,
-94.8,603.70,,,,
-44.6,599.23,,,,
-1.3,605.40,,,,
43,613.30,,,,
157.1,613.00,,,,
175.6,617.61,,,,
223.6,623.08,,,,
232.8,614.50,,,,
272.7,623.41,,,,
321.4,623.30,,,,
330.4,610.27,,,,
399,630.44,,,,
423.1,631.70,,,,
507.4,638.29,,,,
519.2,631.30,,,,
600.6,650.23,,,,
612.2,634.93,,,,
701.6,634.87,,,,
724.8,628.70,,,,
732.9,642.66,,,,
818.4,643.70,,,,
858.1,633.22,,,,
912.8,634.70,,,,
1003.9,636.21,,,,
1008,666.00,666,,,
1010.6,640.20,,,,
1048,677.80,677.8,,,
1053.1,647.92,,,,
1080.7,647.00,,,,
1088.7,663.97,,,,
1098,676.40,676.4,,,
1148,685.90,685.9,,,
1198,683.70,683.7,,,
1207.7,643.30,,,,
1214.1,679.50,,,,
1248,660.90,660.9,,,
1272.2,668.91,,,,
1282.2,666.70,,,,
1329,672.90,672.9,,,
1389,677.60,677.6,,,
1396.5,680.39,,,,
1411.4,667.80,,,,
1416.6,669.67,,,,
1448,681.50,681.5,,,
1467,671.40,671.4,,,
1471.9,644.30,,,,
1491.1,670.15,,,,
1501,693.00,693,,,
1529,698.90,698.9,,,
1547,680.85,,,,
1549,704.30,704.3,,,
1568.2,684.30,,,,
1572,684.80,684.8,,,
1591,665.40,665.4,,,
1605.5,651.44,,,,
1606,667.70,667.7,,,
1622,679.40,679.4,,,
1649,674.60,674.6,,,
1652.8,675.89,,,,
1681,692.00,692,,,
1691.9,679.31,,,,
1694,676.10,676.1,,,
1722,671.90,671.9,,,
1742.7,682.70,,,,
1747.9,695.65,,,,
1749,692.90,692.9,,,
1751,696.90,696.9,,,
1762,703.10,703.1,,,
1765.7,726.80,,,,
1779,714.40,714.4,,,
1796,716.90,716.9,,,
1798,728.50,728.5,,,
1798.8,710.49,,,,
1820.4,761.70,,,,
1824.3,784.47,,,,
1827,755.80,755.8,,,
1834,756.30,756.3,,,
1842,766.90,766.9,,,
1847,763.70,763.7,,,
1852,785.50,785.5,,,
1856,775.90,775.9,,,
1863,789.90,789.9,,,
1871,811.90,811.9,,,
1879,822.30,822.3,,,
1884,828.50,828.5,,,
1888,833.60,833.6,,,
1893,836.80,836.8,,,
1894,852.30,852.3,,,
1900,862.40,862.4,,,
1901,868.40,868.4,,,
1907,888.03,888.0333333,,,
1914,921.60,921.6,,,
1917,929.90,929.9,,,
1926,990.05,990.05,,,
1928,997.00,997,,,
1931,1006.40,"1,006.40",,,
1934,1023.20,"1,023.20",,,
1936,1045.20,"1,045.20",,,
1936.6,907.00,,,,
1938,1053.00,"1,053.00",,,
1940,1059.90,"1,059.90",,,
1941,1058.95,"1,058.95",,,
1942,1069.10,"1,069.10",,,
1944,1082.50,"1,082.50",,,
1946,1081.80,"1,081.80",,,
1950,1103.30,"1,103.30",,,
1955,1142.93,"1,142.93",,,
1956,1173.30,"1,173.30",,,
1957,1182.95,"1,182.95",,,
1961,1218.50,"1,218.50",,,
1964,1260.30,"1,260.30",,,
1965,1261.30,"1,261.30",,,
1967,1284.03,"1,284.03",,,
1970,1351.70,"1,351.70",,,
1971,1357.20,"1,357.20",,,
1972,1380.10,"1,380.10",,,
1973,1385.80,"1,385.80",,,
1974,1421.50,"1,421.50",,,
1975,1420.40,"1,420.40",,,
1977,1458.10,"1,458.10",,,
1980,1479.50,"1,479.50",,,
1984,1655.82,,,1655.820833,
1985,1602.61,,"1,602.61","1,668.06",
1986,1617.73,,"1,617.73","1,681.81",
1987,1631.76,,"1,631.76","1,693.10",
1988,1641.83,,"1,641.83","1,703.95",
1989,1655.48,,"1,655.48","1,717.99",
1990,1662.75,,"1,662.75","1,731.45",
1991,1673.98,,"1,673.98","1,740.96",
1992,1687.10,,"1,687.10","1,745.48",
1993,1688.87,,"1,688.87","1,748.66","1,786.67"
1994,1694.11,,"1,694.11","1,758.35","1,797.76"
1995,1700.22,,"1,700.22","1,761.94","1,798.46"
1996,1701.96,,"1,701.96","1,763.12","1,804.52"
1997,1709.09,,"1,709.09","1,772.47","1,807.10"
1998,1716.53,,"1,716.53","1,777.80","1,817.57"
1999,1726.65,,"1,726.65","1,784.73","1,820.06"
2000,1728.12,,"1,728.12","1,784.42","1,817.25"
2001,1726.76,,"1,726.76","1,785.95","1,823.45"
2002,1728.77,,"1,728.77","1,782.79",
2003,1729.38,,"1,729.38","1,791.82",
2004,1728.84,,"1,728.84","1,789.86",
2005,1728.09,,"1,728.09","1,789.36",
2006,1727.49,,"1,727.49","1,785.23",
2007,1732.94,,"1,732.94","1,794.76",
2008,1741.48,,"1,741.48","1,798.21",
2009,1743.92,,"1,743.92","1,807.34",
2010,1750.47,,"1,750.47","1,814.20",
2011,1757.90,,"1,757.90","1,816.32",
2012,1762.02,,"1,762.02","1,822.89",
2013,1765.75,,"1,765.75","1,830.75",
2014,1775.03,,"1,775.03","1,841.42",
2015,1785.85,,"1,785.85","1,851.96",
2016,1791.82,,"1,791.82","1,861.33",
2017,1798.62,,"1,798.62","1,865.50",
2018,1810.81,,"1,810.81","1,871.53",
2019,1816.61,,"1,816.61","1,882.55",
2020,1824.70,,"1,824.70","1,891.47",
2021,1841.53,,"1,841.53",,
